ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),INTAKE_AIR_TEMP (),Throttle_Response_Problem
13,1350.0,0,21.17647,38.823528,28,0,25,1.0
15,1350.0,0,21.17647,38.823528,28,0,25,1.0
15,1350.0,0,21.17647,38.823528,28,0,25,1.0
15,1350.0,0,21.17647,41.176472,29,0,25,1.0
17,1345.25,0,21.17647,41.176472,29,0,25,1.0
17,1345.25,0,21.17647,41.176472,29,0,25,1.0
17,1345.25,0,21.17647,41.176472,29,0,25,1.0
17,1379.5,0,21.17647,41.176472,30,0,25,1.0
19,1379.5,0,21.17647,41.176472,30,0,25,1.0
19,1379.5,0,21.17647,41.176472,30,0,25,1.0
19,1379.5,0,21.17647,41.176472,30,0,25,1.0
19,1375.0,0,20.784313,38.823528,30,0,26,1.0
21,1375.0,0,20.784313,38.823528,30,0,26,1.0
21,1375.0,0,20.784313,38.823528,30,0,26,1.0
21,1375.0,0,20.784313,38.039215,31,0,26,1.0
22,1273.25,0,20.392157,38.039215,31,0,26,1.0
22,1273.25,0,20.392157,38.039215,31,0,26,1.0
22,1273.25,0,20.392157,38.039215,31,0,26,1.0
22,1189.0,0,20.0,37.254902,31,0,26,0.0
24,1189.0,0,20.0,37.254902,31,0,26,0.0
24,1189.0,0,20.0,37.254902,31,0,26,0.0
24,1189.0,0,20.0,37.254902,31,0,26,0.0
24,1133.5,0,20.0,35.686275,33,0,26,0.0
26,1133.5,0,20.0,35.686275,33,0,26,0.0
26,1133.5,0,20.0,35.686275,33,0,26,0.0
26,1133.5,0,20.0,37.254902,33,0,26,0.0
28,1064.0,0,19.607843,37.254902,33,0,26,0.0
28,1064.0,0,19.607843,37.254902,33,0,26,0.0
28,1064.0,0,19.607843,37.254902,33,0,26,0.0
28,990.5,0,20.0,40.392159,34,0,26,0.0
30,990.5,0,20.0,40.392159,34,0,26,0.0
30,990.5,0,20.0,40.392159,34,0,26,0.0
30,990.5,0,20.0,40.392159,34,0,26,0.0
30,982.75,0,20.0,42.35294,35,0,26,0.0
31,982.75,0,20.0,42.35294,35,0,26,0.0
31,982.75,0,20.0,42.35294,35,0,26,0.0
31,982.75,0,20.0,45.490196,35,0,26,0.0
33,969.5,0,20.392157,45.490196,35,0,26,1.0
33,969.5,0,20.392157,45.490196,35,0,26,1.0
33,969.5,0,20.392157,45.490196,35,0,26,1.0
33,971.75,0,20.392157,46.274509,35,0,26,1.0
35,971.75,0,20.392157,46.274509,35,0,26,1.0
35,971.75,0,20.392157,46.274509,35,0,26,1.0
35,971.75,0,20.392157,46.274509,35,0,26,1.0
35,1046.75,0,20.0,43.92157,36,0,26,0.0
37,1046.75,0,20.0,43.92157,36,0,26,0.0
37,1046.75,0,20.0,43.92157,36,0,26,0.0
37,1046.75,0,20.0,43.92157,36,0,26,0.0
39,925.75,0,20.0,43.92157,36,0,26,0.0
39,925.75,0,20.0,43.92157,36,0,26,0.0
39,925.75,0,20.0,43.92157,36,0,26,0.0
39,900.0,0,20.0,49.411766,37,0,26,0.0
41,900.0,0,20.392157,49.411766,37,0,26,1.0
41,900.0,0,20.392157,49.411766,37,0,26,1.0
41,900.0,0,20.392157,49.411766,37,0,26,1.0
41,944.5,6,20.0,44.705883,38,0,26,0.0
42,944.5,6,20.0,44.705883,38,0,26,0.0
42,944.5,6,20.0,44.705883,38,0,26,0.0
42,944.5,6,20.0,43.529411,38,0,26,0.0
44,951.5,8,20.0,43.529411,38,0,26,0.0
44,951.5,8,20.0,43.529411,38,0,26,0.0
44,951.5,8,20.0,43.529411,38,0,26,0.0
44,1260.0,7,20.0,39.607841,39,0,26,0.0
46,1260.0,7,20.392157,39.607841,39,0,26,1.0
46,1260.0,7,20.392157,39.607841,39,0,26,1.0
46,1260.0,7,20.392157,39.607841,39,0,26,1.0
46,957.75,10,20.784313,33.333332,40,0,26,1.0
48,957.75,10,20.784313,33.333332,40,0,26,1.0
48,957.75,10,20.784313,33.333332,40,0,26,1.0
48,957.75,10,20.784313,33.333332,40,0,26,1.0
50,878.0,11,19.607843,46.274509,40,0,26,0.0
50,878.0,11,19.607843,46.274509,40,0,26,0.0
50,878.0,11,19.607843,46.274509,40,0,26,0.0
50,929.5,11,19.607843,42.745098,40,0,26,0.0
51,929.5,12,19.607843,42.745098,40,0,26,0.0
51,929.5,12,19.607843,42.745098,40,0,26,0.0
51,929.5,12,19.607843,42.745098,40,0,26,0.0
51,932.0,13,19.607843,41.960785,40,0,26,0.0
53,932.0,13,19.607843,41.960785,40,0,26,0.0
53,932.0,13,19.607843,41.960785,40,0,26,0.0
53,932.0,13,19.607843,41.960785,40,0,26,0.0
55,953.75,13,19.607843,41.176472,41,0,26,0.0
55,953.75,13,19.607843,41.176472,41,0,26,0.0
55,953.75,13,19.607843,41.176472,41,0,26,0.0
55,953.75,13,19.607843,43.92157,41,0,26,0.0
57,857.0,12,19.607843,43.92157,41,0,26,0.0
57,857.0,12,19.607843,43.92157,41,0,26,0.0
57,857.0,12,19.607843,43.92157,41,0,26,0.0
57,700.0,11,19.607843,52.941177,42,0,26,0.0
59,700.0,11,19.607843,52.941177,42,0,26,0.0
59,700.0,11,19.607843,52.941177,42,0,26,0.0
59,700.0,11,19.607843,52.941177,42,0,26,0.0
59,878.75,12,19.607843,42.745098,42,0,26,0.0
61,878.75,12,19.607843,42.745098,42,0,26,0.0
61,878.75,12,19.607843,42.745098,42,0,26,0.0
61,878.75,12,19.607843,41.960785,43,0,26,0.0
62,829.5,13,19.607843,41.960785,43,0,26,0.0
62,829.5,13,19.607843,41.960785,43,0,26,0.0
62,829.5,13,19.607843,41.960785,43,0,26,0.0
62,670.25,10,19.607843,55.686275,43,0,27,0.0
64,670.25,10,19.607843,55.686275,43,0,27,0.0
64,670.25,10,19.607843,55.686275,43,0,27,0.0
64,670.25,10,19.607843,55.686275,43,0,27,0.0
64,807.0,10,19.607843,47.450981,43,0,27,0.0
66,807.0,10,19.607843,47.450981,43,0,27,0.0
66,807.0,10,19.607843,47.450981,43,0,27,0.0
66,807.0,10,19.607843,46.274509,44,0,27,0.0
68,863.25,12,19.607843,46.274509,44,0,27,0.0
68,863.25,12,19.607843,46.274509,44,0,27,0.0
68,863.25,12,19.607843,46.274509,44,0,27,0.0
68,900.0,13,18.039215,37.254902,45,0,27,0.0
70,900.0,13,18.039215,37.254902,45,0,27,0.0
70,900.0,13,18.039215,37.254902,45,0,27,0.0
70,900.0,13,18.039215,37.254902,45,0,27,0.0
70,796.75,12,18.039215,32.549019,45,0,27,0.0
71,796.75,12,18.039215,32.549019,45,0,27,0.0
71,796.75,12,18.039215,32.549019,45,0,27,0.0
71,796.75,12,18.039215,35.294117,45,0,27,0.0
73,805.25,10,18.039215,35.294117,45,0,27,0.0
73,805.25,10,18.039215,35.294117,45,0,27,0.0
73,805.25,10,18.039215,35.294117,45,0,27,0.0
73,844.5,12,18.039215,35.294117,45,0,27,0.0
75,844.5,12,18.431372,35.294117,45,0,27,0.0
75,844.5,12,18.431372,35.294117,45,0,27,0.0
75,844.5,12,18.431372,35.294117,45,0,27,0.0
75,884.25,12,18.82353,34.509804,46,0,27,0.0
77,884.25,12,18.82353,34.509804,46,0,27,0.0
77,884.25,12,18.82353,34.509804,46,0,27,0.0
77,884.25,12,18.82353,37.254902,46,0,27,0.0
79,968.75,13,19.215687,37.254902,46,0,27,0.0
79,968.75,13,19.215687,37.254902,46,0,27,0.0
79,968.75,13,19.215687,37.254902,46,0,27,0.0
79,962.5,14,19.215687,37.254902,46,0,27,0.0
80,962.5,14,19.215687,37.254902,46,0,27,0.0
80,962.5,14,19.215687,37.254902,46,0,27,0.0
80,962.5,14,19.215687,37.254902,46,0,27,0.0
80,989.0,14,19.215687,36.862743,46,0,27,0.0
82,989.0,14,19.215687,36.862743,46,0,27,0.0
82,989.0,14,19.215687,36.862743,46,0,27,0.0
82,989.0,14,19.215687,36.07843,46,0,27,0.0
84,986.5,11,19.215687,36.07843,47,0,27,0.0
84,986.5,11,19.215687,36.07843,47,0,27,0.0
84,986.5,11,19.215687,36.07843,47,0,27,0.0
84,911.5,8,19.215687,36.470589,47,0,27,0.0
86,911.5,8,19.215687,36.470589,47,0,27,0.0
86,911.5,8,19.215687,36.470589,47,0,27,0.0
86,911.5,8,19.215687,36.470589,47,0,27,0.0
86,711.5,7,19.215687,56.862743,48,0,27,0.0
88,711.5,7,19.215687,56.862743,48,0,27,0.0
88,711.5,7,19.215687,56.862743,48,0,27,0.0
88,711.5,7,19.215687,56.862743,48,0,27,0.0
90,894.5,7,19.215687,38.823528,48,0,27,0.0
90,894.5,7,19.215687,38.823528,48,0,27,0.0
90,894.5,7,19.215687,38.823528,48,0,27,0.0
90,937.5,7,19.215687,37.64706,48,0,27,0.0
91,937.5,4,19.215687,37.64706,48,0,27,0.0
91,937.5,4,19.215687,37.64706,48,0,27,0.0
91,937.5,4,19.215687,37.64706,48,0,27,0.0
91,943.75,3,19.215687,36.862743,49,0,27,0.0
93,943.75,3,19.215687,36.862743,49,0,27,0.0
93,943.75,3,19.215687,36.862743,49,0,27,0.0
93,943.75,3,19.215687,36.862743,49,0,27,0.0
95,964.75,3,19.215687,36.07843,50,0,28,0.0
95,964.75,3,19.215687,36.07843,50,0,28,0.0
95,964.75,3,19.215687,36.07843,50,0,28,0.0
95,964.75,3,19.215687,28.235294,50,0,28,0.0
97,995.25,0,17.647058,28.235294,50,0,28,0.0
97,995.25,0,17.647058,28.235294,50,0,28,0.0
97,995.25,0,17.647058,28.235294,50,0,28,0.0
97,957.75,0,17.254902,26.666666,50,0,28,0.0
99,957.75,0,17.254902,26.666666,50,0,28,0.0
99,957.75,0,17.254902,26.666666,50,0,28,0.0
99,957.75,0,17.254902,26.666666,50,0,28,0.0
100,885.75,0,16.862745,25.882353,50,0,28,0.0
100,885.75,0,16.862745,25.882353,50,0,28,0.0
100,885.75,0,16.862745,25.882353,50,0,28,0.0
100,885.75,0,16.862745,27.450981,51,0,28,0.0
102,836.5,0,16.862745,27.450981,51,0,28,0.0
102,836.5,0,16.862745,27.450981,51,0,28,0.0
102,836.5,0,16.862745,27.450981,51,0,28,0.0
102,837.5,0,17.254902,28.235294,51,0,28,0.0
104,837.5,0,17.254902,28.235294,51,0,28,0.0
104,837.5,0,17.254902,28.235294,51,0,28,0.0
104,837.5,0,17.254902,28.235294,51,0,28,0.0
104,845.25,0,19.215687,38.823528,51,0,28,0.0
106,845.25,0,19.215687,38.823528,51,0,28,0.0
106,845.25,0,19.215687,38.823528,51,0,28,0.0
106,845.25,0,19.215687,37.64706,51,0,28,0.0
108,886.5,0,18.82353,37.64706,51,0,28,0.0
108,886.5,0,18.82353,37.64706,51,0,28,0.0
108,886.5,0,18.82353,37.64706,51,0,28,0.0
108,903.0,0,18.82353,35.686275,51,0,28,0.0
109,903.0,0,18.82353,35.686275,51,0,28,0.0
109,903.0,0,18.82353,35.686275,51,0,28,0.0
109,903.0,0,18.82353,35.686275,51,0,28,0.0
109,894.5,0,18.82353,35.294117,51,0,28,0.0
111,894.5,0,18.82353,35.294117,51,0,28,0.0
111,894.5,0,18.82353,35.294117,51,0,28,0.0
111,894.5,0,18.82353,34.509804,52,0,28,0.0
113,862.5,0,18.431372,34.509804,52,0,28,0.0
113,862.5,0,18.431372,34.509804,52,0,28,0.0
113,862.5,0,18.431372,34.509804,52,0,28,0.0
113,960.0,0,20.392157,48.627453,52,0,28,1.0
115,960.0,0,20.392157,48.627453,52,0,28,1.0
115,960.0,0,20.392157,48.627453,52,0,28,1.0
115,960.0,0,20.392157,48.627453,52,0,28,1.0
115,743.75,0,18.82353,54.117645,52,0,28,0.0
117,743.75,0,18.82353,54.117645,52,0,28,0.0
117,743.75,0,18.82353,54.117645,52,0,28,0.0
117,743.75,0,18.82353,43.92157,53,0,28,0.0
118,1482.0,9,18.82353,43.92157,53,0,28,0.0
118,1482.0,9,18.82353,43.92157,53,0,28,0.0
118,1482.0,9,18.82353,43.92157,53,0,28,0.0
118,941.25,12,18.82353,63.529411,53,0,28,0.0
120,941.25,12,20.784313,63.529411,53,0,28,1.0
120,941.25,12,20.784313,63.529411,53,0,28,1.0
120,941.25,12,20.784313,63.529411,53,0,28,1.0
120,1174.0,14,18.82353,31.764706,53,0,28,0.0
122,1174.0,14,18.82353,31.764706,53,0,28,0.0
122,1174.0,14,18.82353,31.764706,53,0,28,0.0
122,1174.0,14,18.82353,30.980392,53,0,28,0.0
124,1119.5,17,17.254902,30.980392,53,0,28,0.0
124,1119.5,17,17.254902,30.980392,53,0,28,0.0
124,1119.5,17,17.254902,30.980392,53,0,28,0.0
124,985.0,15,17.254902,25.09804,54,0,28,0.0
126,985.0,15,17.254902,25.09804,54,0,28,0.0
126,985.0,15,17.254902,25.09804,54,0,28,0.0
126,985.0,15,17.254902,25.09804,54,0,28,0.0
126,950.75,11,17.254902,25.882353,54,0,28,0.0
128,950.75,11,17.254902,25.882353,54,0,28,0.0
128,950.75,11,17.254902,25.882353,54,0,28,0.0
128,950.75,11,17.254902,25.882353,54,0,28,0.0
129,821.0,7,17.254902,26.666666,55,0,28,0.0
129,821.0,7,17.254902,26.666666,55,0,28,0.0
129,821.0,7,17.254902,26.666666,55,0,28,0.0
129,805.25,7,17.254902,29.803921,55,0,28,0.0
131,805.25,6,17.254902,29.803921,55,0,28,0.0
131,805.25,6,17.254902,29.803921,55,0,28,0.0
131,805.25,6,17.254902,29.803921,55,0,28,0.0
131,852.25,6,18.82353,28.627451,55,0,28,0.0
133,852.25,6,18.82353,28.627451,55,0,28,0.0
133,852.25,6,18.82353,28.627451,55,0,28,0.0
133,852.25,6,18.82353,28.627451,55,0,28,0.0
135,856.25,3,18.82353,37.64706,55,0,28,0.0
135,856.25,3,18.82353,37.64706,55,0,28,0.0
135,856.25,3,18.82353,37.64706,55,0,28,0.0
135,856.25,3,18.82353,41.960785,55,0,28,0.0
137,792.75,3,18.82353,41.960785,55,0,29,0.0
137,792.75,3,18.82353,41.960785,55,0,29,0.0
137,792.75,3,18.82353,41.960785,55,0,29,0.0
137,905.25,4,25.09804,36.07843,55,0,28,1.0
138,905.25,4,25.09804,36.07843,55,0,28,1.0
138,905.25,4,25.09804,36.07843,55,0,28,1.0
138,905.25,4,25.09804,36.07843,55,0,28,1.0
140,714.75,3,18.82353,54.901962,55,0,29,0.0
140,714.75,3,18.82353,54.901962,55,0,29,0.0
140,714.75,3,18.82353,54.901962,55,0,29,0.0
140,714.75,3,18.82353,41.568626,56,0,29,0.0
142,830.25,6,18.82353,41.568626,56,0,28,0.0
142,830.25,6,18.82353,41.568626,56,0,28,0.0
142,830.25,6,18.82353,41.568626,56,0,28,0.0
142,905.25,6,18.82353,42.35294,56,0,29,0.0
144,905.25,6,18.82353,42.35294,56,0,29,0.0
144,905.25,6,18.82353,42.35294,56,0,29,0.0
144,905.25,6,18.82353,42.35294,56,0,29,0.0
144,938.25,3,18.82353,36.862743,56,0,29,0.0
146,938.25,3,18.82353,36.862743,56,0,29,0.0
146,938.25,3,18.82353,36.862743,56,0,29,0.0
146,938.25,3,18.82353,36.07843,57,0,29,0.0
147,963.25,3,18.82353,36.07843,57,0,29,0.0
147,963.25,3,18.82353,36.07843,57,0,29,0.0
147,963.25,3,18.82353,36.07843,57,0,29,0.0
147,994.5,0,18.82353,35.294117,57,0,29,0.0
149,994.5,0,18.82353,35.294117,57,0,29,0.0
149,994.5,0,18.82353,35.294117,57,0,29,0.0
149,994.5,0,18.82353,35.294117,57,0,29,0.0
149,992.75,0,18.82353,34.509804,57,0,29,0.0
151,992.75,0,18.82353,34.509804,57,0,29,0.0
151,992.75,0,18.82353,34.509804,57,0,29,0.0
151,992.75,0,18.82353,32.941177,58,0,29,0.0
153,962.5,0,18.431372,32.941177,58,0,29,0.0
153,962.5,0,18.431372,32.941177,58,0,29,0.0
153,962.5,0,18.431372,32.941177,58,0,29,0.0
153,950.75,0,16.862745,25.09804,58,0,29,0.0
155,950.75,0,16.862745,25.09804,58,0,29,0.0
155,950.75,0,16.862745,25.09804,58,0,29,0.0
155,950.75,0,16.862745,25.09804,58,0,29,0.0
155,900.75,0,16.862745,25.09804,58,0,29,0.0
157,900.75,0,16.862745,25.09804,58,0,29,0.0
157,900.75,0,16.862745,25.09804,58,0,29,0.0
157,900.75,0,16.862745,25.09804,58,0,29,0.0
158,846.0,0,16.470589,25.09804,58,0,29,0.0
158,846.0,0,16.470589,25.09804,58,0,29,0.0
158,846.0,0,16.470589,25.09804,58,0,29,0.0
158,782.75,0,16.470589,25.490196,58,0,30,0.0
160,782.75,0,16.470589,25.490196,58,0,30,0.0
160,782.75,0,16.470589,25.490196,58,0,30,0.0
160,782.75,0,16.470589,25.490196,58,0,30,0.0
160,775.0,0,16.470589,25.882353,59,0,30,0.0
162,775.0,0,16.470589,25.882353,59,0,30,0.0
162,775.0,0,16.470589,25.882353,59,0,30,0.0
162,775.0,0,16.470589,40.784313,59,0,30,0.0
164,810.75,0,18.82353,40.784313,59,0,30,0.0
164,810.75,0,18.82353,40.784313,59,0,30,0.0
164,810.75,0,18.82353,40.784313,59,0,30,0.0
164,858.5,0,18.82353,38.823528,59,0,30,0.0
166,858.5,0,18.82353,38.823528,59,0,30,0.0
166,858.5,0,18.82353,38.823528,59,0,30,0.0
166,858.5,0,18.82353,38.823528,59,0,30,0.0
166,896.0,0,18.82353,36.862743,60,0,30,0.0
167,896.0,0,18.82353,36.862743,60,0,30,0.0
167,896.0,0,18.82353,36.862743,60,0,30,0.0
167,896.0,0,18.82353,25.882353,60,0,30,0.0
169,899.0,0,16.862745,25.882353,60,0,30,0.0
169,899.0,0,16.862745,25.882353,60,0,30,0.0
169,899.0,0,16.862745,25.882353,60,0,30,0.0
169,871.75,0,16.862745,26.274509,60,0,30,0.0
171,871.75,0,16.862745,26.274509,60,0,30,0.0
171,871.75,0,16.862745,26.274509,60,0,30,0.0
171,871.75,0,16.862745,26.274509,60,0,30,0.0
171,828.75,0,16.470589,25.490196,60,0,30,0.0
173,828.75,0,16.470589,25.490196,60,0,30,0.0
173,828.75,0,16.470589,25.490196,60,0,30,0.0
173,828.75,0,16.470589,25.490196,60,0,30,0.0
175,787.5,0,16.470589,25.490196,60,0,30,0.0
175,787.5,0,16.470589,25.490196,60,0,30,0.0
175,787.5,0,16.470589,25.490196,60,0,30,0.0
175,757.0,0,16.470589,26.274509,60,0,30,0.0
176,757.0,0,16.470589,26.274509,60,0,30,0.0
176,757.0,0,16.470589,26.274509,60,0,30,0.0
176,757.0,0,16.470589,26.274509,60,0,30,0.0
176,757.75,0,16.470589,27.058823,60,0,30,0.0
178,757.75,0,16.470589,27.058823,60,0,30,0.0
178,757.75,0,16.470589,27.058823,60,0,30,0.0
178,757.75,0,16.470589,27.058823,60,0,30,0.0
180,762.5,0,16.470589,27.058823,61,0,30,0.0
180,762.5,0,16.470589,27.058823,61,0,30,0.0
180,762.5,0,16.470589,27.058823,61,0,30,0.0
180,762.5,0,16.470589,26.666666,61,0,30,0.0
182,772.5,0,16.470589,26.666666,61,0,30,0.0
182,772.5,0,16.470589,26.666666,61,0,30,0.0
182,772.5,0,16.470589,26.666666,61,0,30,0.0
182,771.0,0,16.470589,26.666666,61,0,30,0.0
184,771.0,0,16.470589,26.666666,61,0,30,0.0
184,771.0,0,16.470589,26.666666,61,0,30,0.0
184,771.0,0,16.470589,26.666666,61,0,30,0.0
186,767.75,0,16.470589,27.058823,61,0,30,0.0
186,767.75,0,16.470589,27.058823,61,0,30,0.0
186,767.75,0,16.470589,27.058823,61,0,30,0.0
186,767.75,0,16.470589,26.666666,61,0,30,0.0
187,775.0,0,16.470589,26.666666,61,0,30,0.0
187,775.0,0,16.470589,26.666666,61,0,30,0.0
187,775.0,0,16.470589,26.666666,61,0,30,0.0
187,767.75,0,16.470589,26.666666,61,0,30,0.0
189,767.75,0,16.470589,26.666666,61,0,30,0.0
189,767.75,0,16.470589,26.666666,61,0,30,0.0
189,767.75,0,16.470589,26.666666,61,0,30,0.0
189,768.75,0,16.470589,26.666666,61,0,30,0.0
191,768.75,0,16.470589,26.666666,61,0,30,0.0
191,768.75,0,16.470589,26.666666,61,0,30,0.0
191,768.75,0,16.470589,26.666666,61,0,30,0.0
193,775.75,0,16.470589,26.666666,61,0,30,0.0
193,775.75,0,16.470589,26.666666,61,0,30,0.0
193,775.75,0,16.470589,26.666666,61,0,30,0.0
193,761.5,0,16.470589,26.666666,61,0,30,0.0
195,761.5,0,16.470589,26.666666,61,0,30,0.0
195,761.5,0,16.470589,26.666666,61,0,30,0.0
195,761.5,0,16.470589,26.666666,61,0,30,0.0
195,766.25,0,16.470589,26.666666,61,0,30,0.0
196,766.25,0,16.470589,26.666666,61,0,30,0.0
196,766.25,0,16.470589,26.666666,61,0,30,0.0
196,766.25,0,16.470589,26.666666,62,0,30,0.0
198,767.0,0,16.470589,26.666666,62,0,30,0.0
198,767.0,0,16.470589,26.666666,62,0,30,0.0
198,767.0,0,16.470589,26.666666,62,0,30,0.0
198,764.75,0,16.470589,26.666666,62,0,30,0.0
200,764.75,0,16.470589,26.666666,62,0,30,0.0
200,764.75,0,16.470589,26.666666,62,0,30,0.0
200,764.75,0,16.470589,26.666666,62,0,30,0.0
200,759.25,0,16.470589,26.666666,62,0,31,0.0
202,759.25,0,16.470589,26.666666,62,0,31,0.0
202,759.25,0,16.470589,26.666666,62,0,31,0.0
202,759.25,0,16.470589,26.666666,62,0,31,0.0
204,762.5,0,16.470589,26.666666,62,0,31,0.0
204,762.5,0,16.470589,26.666666,62,0,31,0.0
204,762.5,0,16.470589,26.666666,62,0,31,0.0
204,760.0,0,16.470589,26.666666,62,0,31,0.0
205,760.0,0,16.470589,26.666666,62,0,31,0.0
205,760.0,0,16.470589,26.666666,62,0,31,0.0
205,760.0,0,16.470589,26.666666,62,0,31,0.0
205,752.25,0,16.470589,26.666666,63,0,31,0.0
207,752.25,0,16.470589,26.666666,63,0,31,0.0
207,752.25,0,16.470589,26.666666,63,0,31,0.0
207,752.25,0,16.470589,26.666666,63,0,31,0.0
209,755.25,0,16.470589,26.666666,63,0,31,0.0
209,755.25,0,16.470589,26.666666,63,0,31,0.0
209,755.25,0,16.470589,26.666666,63,0,31,0.0
209,759.25,0,16.470589,26.666666,63,0,31,0.0
211,759.25,0,16.470589,26.666666,63,0,31,0.0
211,759.25,0,16.470589,26.666666,63,0,31,0.0
211,759.25,0,16.470589,26.666666,63,0,31,0.0
211,759.25,0,16.470589,26.666666,63,0,31,0.0
213,759.25,0,16.470589,26.666666,63,0,31,0.0
213,759.25,0,16.470589,26.666666,63,0,31,0.0
213,759.25,0,16.470589,26.666666,63,0,31,0.0
215,754.5,0,16.470589,26.666666,63,0,31,0.0
215,754.5,0,16.470589,26.666666,63,0,31,0.0
215,754.5,0,16.470589,26.666666,63,0,31,0.0
215,752.25,0,16.470589,26.274509,63,0,31,0.0
216,752.25,0,16.470589,26.274509,63,0,31,0.0
216,752.25,0,16.470589,26.274509,63,0,31,0.0
216,752.25,0,16.470589,26.274509,63,0,31,0.0
216,749.0,0,16.470589,26.666666,63,0,31,0.0
218,749.0,0,16.470589,26.666666,63,0,31,0.0
218,749.0,0,16.470589,26.666666,63,0,31,0.0
218,749.0,0,16.470589,26.666666,63,0,31,0.0
220,751.5,0,16.470589,26.666666,63,0,31,0.0
220,751.5,0,16.470589,26.666666,63,0,31,0.0
220,751.5,0,16.470589,26.666666,63,0,31,0.0
220,753.75,0,16.470589,26.666666,63,0,31,0.0
222,753.75,0,16.470589,26.666666,63,0,31,0.0
222,753.75,0,16.470589,26.666666,63,0,31,0.0
222,753.75,0,16.470589,26.666666,63,0,31,0.0
222,737.5,0,16.470589,26.666666,64,0,31,0.0
224,737.5,0,16.470589,26.666666,64,0,31,0.0
224,737.5,0,16.470589,26.666666,64,0,31,0.0
224,737.5,0,16.470589,26.666666,64,0,31,0.0
225,746.0,0,16.470589,26.666666,64,0,31,0.0
225,746.0,0,16.470589,26.666666,64,0,31,0.0
225,746.0,0,16.470589,26.666666,64,0,31,0.0
225,746.0,0,16.470589,26.666666,64,0,31,0.0
227,737.5,0,16.470589,26.666666,64,0,31,0.0
227,737.5,0,16.470589,26.666666,64,0,31,0.0
227,737.5,0,16.470589,26.666666,64,0,31,0.0
227,750.75,0,16.470589,26.666666,64,0,31,0.0
229,750.75,0,16.470589,26.666666,64,0,31,0.0
229,750.75,0,16.470589,26.666666,64,0,31,0.0
229,750.75,0,16.470589,26.666666,64,0,31,0.0
229,736.5,0,16.470589,26.666666,65,0,31,0.0
231,736.5,0,16.470589,26.666666,65,0,31,0.0
231,736.5,0,16.470589,26.666666,65,0,31,0.0
231,736.5,0,16.470589,26.666666,65,0,31,0.0
233,740.5,0,16.470589,26.666666,65,0,31,0.0
233,740.5,0,16.470589,26.666666,65,0,31,0.0
233,740.5,0,16.470589,26.666666,65,0,31,0.0
233,745.25,0,16.470589,26.666666,65,0,31,0.0
234,745.25,0,16.470589,26.666666,65,0,31,0.0
234,745.25,0,16.470589,26.666666,65,0,31,0.0
234,745.25,0,16.470589,26.666666,65,0,31,0.0
234,733.5,0,16.470589,26.666666,65,0,31,0.0
236,733.5,0,16.470589,26.666666,65,0,31,0.0
236,733.5,0,16.470589,26.666666,65,0,31,0.0
236,733.5,0,16.470589,26.666666,65,0,31,0.0
