Time,COOLANT_TEMPERATURE (),Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature,Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [��,Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
17:31.2,33,97,944,0,33,10.11,83.1,24,14.5,14.1
17:31.3,33,97,944,0,33,10.11,83.1,24,14.5,14.1
17:31.4,33,99,944,0,33,10.11,83.1,24,14.5,14.1
17:31.4,33,99,926,0,33,10.11,83.1,24,14.5,14.1
17:31.5,33,99,926,0,33,10.11,83.1,24,14.5,14.1
17:31.6,33,99,926,0,33,10.11,83.1,24,14.5,14.1
17:31.7,33,99,926,0,33,10.41,83.1,24,14.5,14.1
17:31.8,33,99,926,0,33,10.41,83.1,24,14.5,14.1
17:31.9,33,99,926,0,33,10.41,83.1,24,14.5,14.1
17:32.0,33,99,926,0,33,10.41,83.1,24,14.5,14.1
17:32.1,33,99,926,0,33,10.41,83.1,24,14.5,14.5
17:32.2,33,99,926,0,33,10.41,83.1,24,14.5,14.5
17:32.3,33,99,926,0,33,10.41,83.1,24,14.5,14.5
17:32.3,33,99,925,0,33,10.41,83.1,24,14.5,14.5
17:32.4,33,99,925,0,33,10.41,83.1,24,14.5,14.5
17:32.5,33,99,925,0,33,10.41,83.1,24,14.5,14.5
17:32.6,33,99,925,0,33,10.86,83.1,24,14.5,14.5
17:32.7,33,99,925,0,33,10.86,83.1,24,14.5,14.5
17:32.8,33,99,925,0,33,10.86,83.1,24,14.5,14.5
17:32.9,33,99,925,0,33,10.86,83.1,24,14.1,14.5
17:33.0,33,99,925,0,33,10.86,83.1,24,14.1,14.5
17:33.1,33,99,925,0,33,10.86,83.1,24,14.1,14.5
17:33.2,33,100,925,0,33,10.86,83.1,24,14.1,14.5
17:33.2,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:33.3,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:33.4,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:33.5,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:33.6,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:33.7,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:33.8,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:33.9,33,100,941,0,33,10.86,83.1,24,14.1,14.5
17:34.0,32,100,941,0,33,10.86,83.1,24,14.1,14.5
17:34.1,32,100,941,0,33,10.86,83.1,24,14.1,14.5
17:34.1,32,100,953,0,33,10.86,83.1,24,14.1,14.5
17:34.2,32,100,953,1,33,10.86,83.1,24,14.1,14.5
17:34.3,32,100,953,1,33,10.86,83.1,24,14.1,14.5
17:34.4,32,100,953,1,33,11.22,83.1,24,14.1,14.5
17:34.5,32,100,953,1,33,11.22,83.1,24,14.1,14.5
17:34.6,32,100,953,1,33,11.22,83.1,24,14.1,14.5
17:34.7,32,100,953,1,33,11.22,83.1,24,14.1,14.5
17:34.8,32,100,953,1,33,11.22,83.1,24,14.1,14.5
17:34.9,32,100,953,1,33,11.22,83.1,24,14.1,14.5
17:35.0,32,101,953,1,33,11.22,83.1,24,14.1,14.5
17:35.0,32,101,977,1,33,11.22,83.1,24,14.1,14.5
17:35.2,32,101,977,1,33,11.22,83.1,24,14.1,14.5
17:35.3,32,101,977,1,33,11.22,83.1,24,14.1,14.5
17:35.3,32,101,977,1,33,10.94,83.1,24,14.1,14.5
17:35.4,32,101,977,1,33,10.94,83.1,24,14.1,14.5
17:35.5,32,101,977,1,33,10.94,83.1,24,14.1,14.5
17:35.6,32,101,977,1,33,10.94,83.1,24,14.1,14.5
17:35.7,32,101,977,1,33,10.94,83.1,24,14.1,14.5
17:35.8,32,101,977,1,33,10.94,83.1,24,14.1,14.5
17:35.9,32,101,977,1,33,10.94,83.1,24,14.1,14.5
17:36.0,32,101,933,1,33,10.94,83.1,24,14.1,14.5
17:36.1,32,101,933,3,33,10.94,83.1,24,14.1,14.5
17:36.2,32,101,933,3,32,10.94,83.1,24,14.1,14.5
17:36.2,32,101,933,3,32,10.91,83.1,24,14.1,14.5
17:36.3,32,101,933,3,32,10.91,83.1,24,14.1,14.5
17:36.4,32,101,933,3,32,10.91,83.1,24,14.1,14.5
17:36.5,32,101,933,3,32,10.91,83.1,24,14.1,14.5
17:36.6,32,101,933,3,32,10.91,83.1,24,14.1,14.5
17:36.7,32,101,933,3,32,10.91,83.1,24,14.1,14.5
17:36.8,32,101,933,3,32,10.91,83.1,24,14.1,14.5
17:36.9,32,101,923,3,32,10.91,83.1,24,14.1,14.5
17:37.0,32,101,923,4,32,10.91,83.1,24,14.1,14.5
17:37.1,32,101,923,4,32,10.91,83.1,24,14.1,14.5
17:37.1,32,101,923,4,32,11.22,83.1,24,14.1,14.5
17:37.2,32,101,923,4,32,11.22,83.1,24,14.1,14.5
17:37.3,32,101,923,4,32,11.22,83.1,24,14.1,14.5
17:37.4,32,101,923,4,32,11.22,83.1,24,14.1,14.5
17:37.5,32,101,923,4,32,11.22,83.1,24,14.1,14.5
17:37.6,32,101,923,4,32,11.22,83.1,24,14.1,14.5
17:37.7,32,101,923,4,32,11.22,83.1,24,14.1,14.5
17:37.8,32,101,1053,4,32,11.22,83.1,24,14.1,14.5
17:37.9,32,101,1053,5,32,11.22,83.1,24,14.1,14.5
17:38.0,32,101,1053,5,32,11.22,83.1,24,14.1,14.5
17:38.0,32,101,1053,5,32,11.19,83.1,24,14.1,14.5
17:38.1,32,101,1053,5,32,11.19,83.1,24,14.1,14.5
17:38.2,32,101,1053,5,32,11.19,83.1,24,14.1,14.5
17:38.3,32,101,1053,5,32,11.19,83.1,24,14.1,14.5
17:38.4,32,101,1053,5,32,11.19,83.1,24,14.1,14.5
17:38.5,32,101,1053,5,32,11.19,83.1,24,14.1,14.5
17:38.6,32,101,1053,5,32,11.19,83.1,24,14.1,14.5
17:38.7,32,101,951,5,32,11.19,83.1,24,14.1,14.5
17:38.8,32,101,951,4,32,11.19,83.1,24,14.1,14.5
17:38.9,32,101,951,4,32,11.19,83.1,24,14.1,14.5
17:38.9,32,101,951,4,32,9.97,83.1,24,14.1,14.5
17:39.0,32,101,951,4,32,9.97,83.1,24,14.1,14.5
17:39.1,32,101,951,4,32,9.97,83.1,24,14.1,14.5
17:39.2,32,101,951,4,32,9.97,83.1,24,14.1,14.5
17:39.3,32,101,951,4,32,9.97,83.1,24,14.1,14.1
17:39.4,32,101,951,4,32,9.97,83.1,24,14.1,14.1
17:39.5,32,101,951,4,32,9.97,83.1,24,14.1,14.1
17:39.6,32,101,929,4,32,9.97,83.1,24,14.1,14.1
17:39.7,32,101,929,3,32,9.97,83.1,24,14.1,14.1
17:39.8,32,101,929,3,31,9.97,83.1,24,14.1,14.1
17:39.9,32,101,929,3,31,10.24,83.1,24,14.1,14.1
17:40.0,32,101,929,3,31,10.24,83.1,24,14.1,14.1
17:40.1,32,101,929,3,31,10.24,83.1,24,14.1,14.1
17:40.1,32,101,929,3,31,10.24,83.1,24,14.9,14.1
17:40.2,32,101,929,3,31,10.24,83.1,24,14.9,14.5
17:40.3,32,101,929,3,31,10.24,83.1,24,14.9,14.5
17:40.4,32,101,929,3,31,10.24,83.1,24,14.9,14.5
17:40.5,32,101,897,3,31,10.24,83.1,24,14.9,14.5
17:40.6,32,101,897,3,31,10.24,83.1,24,14.9,14.5
17:40.7,32,101,897,3,30,10.24,83.1,24,14.9,14.5
17:40.8,32,101,897,3,30,10.69,83.1,24,14.9,14.5
17:40.9,32,101,897,3,30,10.69,83.1,24,14.9,14.5
17:41.0,32,101,897,3,30,10.69,83.1,24,14.9,14.5
17:41.0,32,101,897,3,30,10.69,83.1,24,14.9,14.5
17:41.1,32,101,897,3,30,10.69,83.1,24,14.9,14.5
17:41.2,32,101,897,3,30,10.69,83.1,24,14.9,14.5
17:41.3,32,101,897,3,30,10.69,83.1,24,14.9,14.5
17:41.4,32,101,913,3,30,10.69,83.1,24,14.9,14.5
17:41.5,32,101,913,4,30,10.69,83.1,24,14.9,14.5
17:41.6,32,101,913,4,31,10.69,83.1,24,14.9,14.5
17:41.7,32,101,913,4,31,11.24,83.1,24,14.9,14.5
17:41.8,32,101,913,4,31,11.24,83.1,24,14.9,14.5
17:41.9,32,101,913,4,31,11.24,83.1,24,14.9,14.5
17:41.9,32,101,913,4,31,11.24,83.1,24,14.1,14.5
17:42.0,32,101,913,4,31,11.24,83.1,24,14.1,14.5
17:42.1,31,101,913,4,31,11.24,83.1,24,14.1,14.5
17:42.2,31,101,913,4,31,11.24,83.1,24,14.1,14.5
17:42.3,31,101,1035,4,31,11.24,83.1,24,14.1,14.5
17:42.4,31,101,1035,5,31,11.24,83.1,24,14.1,14.5
17:42.5,31,101,1035,5,31,11.24,83.1,24,14.1,14.5
17:42.6,31,101,1035,5,31,11.83,83.1,24,14.1,14.5
17:42.7,31,101,1035,5,31,11.83,83.1,24,14.1,14.5
17:42.8,31,101,1035,5,31,11.83,83.1,24,14.1,14.5
17:42.8,31,101,1035,5,31,11.83,83.1,24,14.1,14.5
17:42.9,31,101,1035,5,31,11.83,83.1,24,14.1,14.5
17:43.0,31,101,1035,5,31,11.83,83.1,24,14.1,14.5
17:43.1,31,101,1035,5,31,11.83,83.1,24,14.1,14.5
17:43.2,31,101,954,5,31,11.83,83.1,24,14.1,14.5
17:43.3,31,101,954,3,31,11.83,83.1,24,14.1,14.5
17:43.4,31,101,954,3,31,11.83,83.1,24,14.1,14.5
17:43.5,31,101,954,3,31,10.02,83.1,24,14.1,14.5
17:43.6,31,101,954,3,31,10.02,83.1,24,14.1,14.5
17:43.7,31,101,954,3,31,10.02,83.1,24,14.1,14.5
17:43.7,31,101,954,3,31,10.02,83.1,24,14.1,14.5
17:43.8,31,101,954,3,31,10.02,83.1,24,14.1,14.5
17:43.9,31,101,954,3,31,10.02,83.1,24,14.1,14.5
17:44.0,31,101,954,3,31,10.02,83.1,24,14.1,14.5
17:44.1,31,101,879,3,31,10.02,83.1,24,14.1,14.5
17:44.2,31,101,879,0,31,10.02,83.1,24,14.1,14.5
17:44.3,31,101,879,0,29,10.02,83.1,24,14.1,14.5
17:44.4,31,101,879,0,29,9.16,83.1,24,14.1,14.5
17:44.5,31,101,879,0,29,9.16,83.1,24,14.1,14.5
17:44.6,31,101,879,0,29,9.16,83.1,24,14.1,14.5
17:44.6,31,101,879,0,29,9.16,83.1,24,14.1,14.5
17:44.7,31,101,879,0,29,9.16,83.1,24,14.1,14.5
17:44.8,31,101,879,0,29,9.16,83.1,24,14.1,14.5
17:44.9,31,100,879,0,29,9.16,83.1,24,14.1,14.5
17:45.0,31,100,844,0,29,9.16,83.1,24,14.1,14.5
17:45.1,31,100,844,0,29,9.16,83.1,24,14.1,14.5
17:45.2,31,100,844,0,28,9.16,83.1,24,14.1,14.5
17:45.3,31,100,844,0,28,10.44,83.1,24,14.1,14.5
17:45.4,31,100,844,0,28,10.44,83.1,24,14.1,14.5
17:45.5,31,100,844,0,28,10.44,83.1,24,14.1,14.5
17:45.5,31,100,844,0,28,10.44,83.1,24,14.5,14.5
17:45.6,31,100,844,0,28,10.44,83.1,24,14.5,14.5
17:45.7,31,100,844,0,28,10.44,83.1,24,14.5,14.5
17:45.8,31,100,844,0,28,10.44,83.1,24,14.5,14.5
17:45.9,31,100,921,0,28,10.44,83.1,24,14.5,14.5
17:46.0,31,100,921,0,28,10.44,83.1,24,14.5,14.5
17:46.1,31,100,921,0,29,10.44,83.1,24,14.5,14.5
17:46.2,31,100,921,0,29,10.24,83.1,24,14.5,14.5
17:46.3,31,100,921,0,29,10.24,83.1,24,14.5,14.5
17:46.4,31,100,921,0,29,10.24,83.1,24,14.5,14.5
17:46.4,31,100,921,0,29,10.24,83.1,24,14.5,14.5
17:46.5,31,100,921,0,29,10.24,83.1,24,14.5,14.5
17:46.6,31,100,921,0,29,10.24,83.1,24,14.5,14.5
17:46.7,31,100,921,0,29,10.24,83.1,24,14.5,14.5
17:46.8,31,100,922,0,29,10.24,83.1,24,14.5,14.5
17:46.9,31,100,922,1,29,10.24,83.1,24,14.5,14.5
17:47.0,31,100,922,1,29,10.24,83.1,24,14.5,14.5
17:47.1,31,100,922,1,29,10.44,83.1,24,14.5,14.5
17:47.2,31,100,922,1,29,10.44,83.1,24,14.5,14.5
17:47.3,31,100,922,1,29,10.44,83.1,24,14.5,14.5
17:47.4,31,100,922,1,29,10.44,83.1,24,14.1,14.5
17:47.4,31,100,922,1,29,10.44,83.1,24,14.1,14.5
17:47.5,31,100,922,1,29,10.44,83.1,24,14.1,14.5
17:47.6,31,100,922,1,29,10.44,83.1,24,14.1,14.5
17:47.7,31,100,988,1,29,10.44,83.1,24,14.1,14.5
17:47.8,31,100,988,1,29,10.44,83.1,24,14.1,14.5
17:47.9,31,100,988,1,29,10.44,83.1,24,14.1,14.5
17:48.0,31,100,988,1,29,10.86,83.1,24,14.1,14.5
17:48.1,31,100,988,1,29,10.86,83.1,24,14.1,14.5
17:48.2,31,100,988,1,29,10.86,83.1,24,14.1,14.5
17:48.2,31,100,988,1,29,10.86,83.1,24,14.1,14.5
17:48.3,31,100,988,1,29,10.86,83.1,24,14.1,14.5
17:48.4,31,100,988,1,29,10.86,83.1,24,14.1,14.5
17:48.5,31,101,988,1,29,10.86,83.1,24,14.1,14.5
17:48.6,31,101,935,1,29,10.86,83.1,24,14.1,14.5
17:48.7,31,101,935,1,29,10.86,83.1,24,14.1,14.5
17:48.8,31,101,935,1,30,10.86,83.1,24,14.1,14.5
17:48.9,31,101,935,1,30,9.74,83.1,24,14.1,14.5
17:49.0,31,101,935,1,30,9.74,83.1,24,14.1,14.5
17:49.1,31,101,935,1,30,9.74,83.1,24,14.1,14.5
17:49.1,31,101,935,1,30,9.74,83.1,24,14.5,14.5
17:49.2,31,101,935,1,30,9.74,83.1,24,14.5,14.5
17:49.3,31,101,935,1,30,9.74,83.1,24,14.5,14.5
17:49.4,31,101,935,1,30,9.74,83.1,24,14.5,14.5
17:49.5,31,101,899,1,30,9.74,83.1,24,14.5,14.5
17:49.6,31,101,899,0,30,9.74,83.1,24,14.5,14.5
17:49.7,31,101,899,0,29,9.74,83.1,24,14.5,14.5
17:49.8,31,101,899,0,29,10.19,83.1,24,14.5,14.5
17:49.9,31,101,899,0,29,10.19,83.1,24,14.5,14.5
17:50.0,31,101,899,0,29,10.19,83.1,24,14.5,14.5
17:50.0,31,101,899,0,29,10.19,83.1,24,14.5,14.5
17:50.1,31,101,899,0,29,10.19,83.1,24,14.5,14.5
17:50.2,31,101,899,0,29,10.19,83.1,24,14.5,14.5
17:50.3,31,101,899,0,29,10.19,83.1,24,14.5,14.5
17:50.4,31,101,910,0,29,10.19,83.1,24,14.5,14.5
17:50.5,31,101,910,1,29,10.19,83.1,24,14.5,14.5
17:50.6,31,101,910,1,29,10.19,83.1,24,14.5,14.5
17:50.6,31,101,910,1,29,10.74,83.1,24,14.5,14.5
17:50.7,31,101,910,1,29,10.74,83.1,24,14.5,14.5
17:50.8,31,101,910,1,29,10.74,83.1,24,14.5,14.5
17:50.9,31,101,910,1,29,10.74,83.1,24,14.1,14.5
17:51.0,31,101,910,1,29,10.74,83.1,24,14.1,14.5
17:51.1,31,101,910,1,29,10.74,83.1,24,14.1,14.5
17:51.2,31,101,910,1,29,10.74,83.1,24,14.1,14.5
17:51.3,31,101,929,1,29,10.74,83.1,24,14.1,14.5
17:51.4,31,101,929,2,29,10.74,83.1,24,14.1,14.5
17:51.5,31,101,929,2,29,10.74,83.1,24,14.1,14.5
17:51.6,31,101,929,2,29,11.02,83.1,24,14.1,14.5
17:51.6,31,101,929,2,29,11.02,83.1,24,14.1,14.5
17:51.7,31,101,929,2,29,11.02,83.1,24,14.1,14.5
17:51.8,31,101,929,2,29,11.02,83.1,24,14.1,14.5
17:51.9,31,101,929,2,29,11.02,83.1,24,14.1,14.5
17:52.0,31,101,929,2,29,11.02,83.1,24,14.1,14.5
17:52.1,31,101,929,2,29,11.02,83.1,24,14.1,14.5
17:52.2,31,101,925,2,29,11.02,83.1,24,14.1,14.5
17:52.3,31,101,925,5,29,11.02,83.1,24,14.1,14.5
17:52.4,31,101,925,5,30,11.02,83.1,24,14.1,14.5
17:52.4,31,101,925,5,30,11.27,83.1,24,14.1,14.5
17:52.5,31,101,925,5,30,11.27,83.1,24,14.1,14.5
17:52.6,31,101,925,5,30,11.27,83.1,24,14.1,14.5
17:52.7,31,101,925,5,30,11.27,83.1,24,14.1,14.5
17:52.8,31,101,925,5,30,11.27,83.1,24,14.1,14.5
17:52.9,31,101,925,5,30,11.27,83.1,24,14.1,14.5
17:53.0,31,102,925,5,30,11.27,83.1,24,14.1,14.5
17:53.0,31,102,912,5,30,11.27,83.1,24,14.1,14.5
17:53.1,31,102,912,6,30,11.27,83.1,24,14.1,14.5
17:53.2,31,102,912,6,29,11.27,83.1,24,14.1,14.5
17:53.3,31,102,912,6,29,11.86,83.1,24,14.1,14.5
17:53.4,31,102,912,6,29,11.86,83.1,24,14.1,14.5
17:53.5,31,102,912,6,29,11.86,83.1,24,14.1,14.5
17:53.6,31,102,912,6,29,11.86,83.1,24,14.1,14.5
17:53.7,31,102,912,6,29,11.86,83.1,24,14.1,14.5
17:53.8,31,102,912,6,29,11.86,83.1,24,14.1,14.5
17:53.9,31,102,912,6,29,11.86,83.1,24,14.1,14.5
17:53.9,31,102,1029,6,29,11.86,83.1,24,14.1,14.5
17:54.0,31,102,1029,7,29,11.86,83.1,24,14.1,14.5
17:54.1,31,102,1029,7,29,11.86,83.1,24,14.1,14.5
17:54.2,31,102,1029,7,29,10.49,83.1,24,14.1,14.5
17:54.3,31,102,1029,7,29,10.49,83.1,24,14.1,14.5
17:54.4,31,102,1029,7,29,10.49,83.1,24,14.1,14.5
17:54.5,31,102,1029,7,29,10.49,83.1,24,14.1,14.5
17:54.5,31,102,1029,7,29,10.49,83.1,24,14.1,14.5
17:54.6,32,102,1029,7,29,10.49,83.1,24,14.1,14.5
17:54.7,32,102,1029,7,29,10.49,83.1,24,14.1,14.5
17:54.8,32,102,967,7,29,10.49,83.1,24,14.1,14.5
17:54.9,32,102,967,5,29,10.49,83.1,24,14.1,14.5
17:55.0,32,102,967,5,30,10.49,83.1,24,14.1,14.5
17:55.1,32,102,967,5,30,10.08,83.1,24,14.1,14.5
17:55.2,32,102,967,5,30,10.08,83.1,24,14.1,14.5
17:55.3,32,102,967,5,30,10.08,83.1,24,14.1,14.5
17:55.4,32,102,967,5,30,10.08,83.1,24,15.3,14.5
17:55.4,32,102,967,5,30,10.08,83.1,24,15.3,14.9
17:55.5,32,102,967,5,30,10.08,83.1,24,15.3,14.9
17:55.6,32,101,967,5,30,10.08,83.1,24,15.3,14.9
17:55.7,32,101,950,5,30,10.08,83.1,24,15.3,14.9
17:55.8,32,101,950,4,30,10.08,83.1,24,15.3,14.9
17:55.9,32,101,950,4,29,10.08,83.1,24,15.3,14.9
17:56.0,32,101,950,4,29,10.08,83.1,24,15.3,14.9
17:56.1,32,101,950,4,29,10.08,83.1,24,15.3,14.9
