ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED (),Throttle_Response_Problem
1,1682.75,0,20.392157,25.490196,32,0.78125,0,25,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,29,21,486.099976,351.600006,11.757,0,0,7866,0,255,
1,1657.75,0,20.392157,29.803921,32,0,0,29,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,30,22,486.099976,351.600006,11.757,0,0,7866,0,255,
3,1657.75,0,20.392157,29.803921,32,0,0,29,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,30,22,486.099976,351.600006,11.757,0,0,7866,0,255,
3,1657.75,0,20.392157,29.803921,32,0,0,29,34.117645,52.941177,16.078432,31.764706,20.392157,0,100,1.568627,30,22,34.5,30.900002,12.402,0,0,7866,0,255,
3,1657.75,0,20.392157,29.803921,32,0,0,29,34.117645,52.941177,16.078432,31.764706,20.392157,0,100,1.568627,30,22,34.5,30.900002,12.402,0,0,7866,0,255,
4,1508.5,0,20.392157,32.156864,32,-0.78125,0,32,34.117645,52.941177,16.078432,31.764706,20.392157,0,100,1.568627,30,20,34.5,30.900002,12.402,0,0,7866,0,255,
4,1508.5,0,20.392157,32.156864,32,-0.78125,0,32,34.117645,52.941177,16.078432,31.764706,20.392157,0,100,1.568627,30,20,41.800003,30.900002,12.402,0,0,7866,0,255,
4,1508.5,0,20.392157,32.156864,32,-0.78125,0,32,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,30,20,41.800003,30.900002,14.218,0,0,7866,0,255,
4,1453,0,20.392157,32.941177,33,-0.78125,0,33,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,30,20,41.800003,30.900002,14.218,0,0,7866,0,255,
6,1453,0,20.392157,32.941177,33,-0.78125,0,33,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,30,13,41.800003,30.900002,14.218,0,0,7866,0,255,
6,1453,0,20.392157,32.941177,33,-0.78125,0,33,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.176471,30,13,46.400002,30.900002,14.218,0,0,7866,0,255,
6,1453,0,20.392157,32.941177,33,-0.78125,0,33,34.117645,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,30,13,46.400002,30.900002,14.218,0,0,7866,0,255,
6,1376.5,0,20.392157,34.117645,33,-0.78125,0,34,34.117645,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,30,9,46.400002,30.900002,14.218,0,0,7866,0,255,
8,1376.5,0,20.392157,34.117645,33,-0.78125,0,34,34.117645,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,30,9,46.400002,30.900002,14.218,0,0,7866,0,255,
8,1376.5,0,20.392157,34.117645,33,-0.78125,0,34,34.117645,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,30,9,57,31,14.179,0,0,7866,0,255,
8,1376.5,0,20.392157,34.117645,33,-0.78125,0,34,34.117645,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,30,9,57,31,14.179,0,0,7866,0,255,
10,1350.75,0,20.784313,36.862743,33,-1.5625,0,36,34.117645,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,30,4,57,31,14.179,0,0,7866,0,255,
10,1350.75,0,20.784313,36.862743,33,-1.5625,0,36,34.117645,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,30,4,69.099998,31,14.179,0,0,7866,0,255,
10,1350.75,0,20.784313,36.862743,33,-1.5625,0,36,34.117645,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,30,4,69.099998,31.199997,14.179,0,0,7866,0,255,
10,1237.5,0,20.784313,45.490196,34,-1.5625,0,44,34.117645,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,30,4,69.099998,31.199997,14.179,0,0,7866,0,255,
12,1237.5,0,21.17647,45.490196,34,-1.5625,0,44,34.117645,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,31,0,69.099998,31.199997,14.179,0,0,7866,0,255,
12,1237.5,0,21.17647,45.490196,34,-1.5625,0,44,34.117645,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,31,0,83,31.400002,14.199,0,0,7866,0,255,
12,1237.5,0,21.17647,45.490196,34,-1.5625,0,44,34.117645,54.117645,16.078432,31.764706,21.17647,0,100,1.960784,31,0,83,31.400002,14.199,0,0,7866,0,255,
12,1231.25,0,21.17647,45.098038,35,-1.5625,0,45,34.117645,54.117645,16.078432,31.764706,21.17647,0,100,1.960784,31,5,83,31.400002,14.199,0,0,7866,0,255,
13,1231.25,0,21.17647,45.098038,35,-1.5625,0,45,35.294117,54.117645,16.078432,31.764706,21.17647,0,100,1.960784,31,5,83,31.400002,14.199,0,0,7866,0,255,
13,1231.25,0,21.17647,45.098038,35,-1.5625,0,45,35.294117,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,5,90.5,31.599998,14.199,0,0,7866,0,255,
13,1231.25,0,21.17647,45.098038,35,-1.5625,0,45,35.294117,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,5,90.5,31.599998,14.199,0,0,7866,0,255,
15,1347.5,0,21.568628,44.313725,35,-1.5625,0,43,35.294117,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,-5,90.5,31.599998,14.199,0,0,7866,0,255,
15,1347.5,0,21.568628,44.313725,35,-1.5625,0,43,35.686275,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,-5,90.5,31.599998,14.199,0,0,7866,0,255,
15,1347.5,0,21.568628,44.313725,35,-1.5625,0,43,35.686275,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,-5,106.399994,32,14.218,0,0,7866,0,255,
15,1347.5,0,21.568628,41.960785,36,-1.5625,0,41,35.686275,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,-5,106.399994,32,14.218,0,0,7866,0,255,
17,1385,0,21.17647,41.960785,36,-1.5625,0,41,35.686275,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,1,106.399994,32,14.218,0,0,7866,0,255,
17,1385,0,21.17647,41.960785,36,-1.5625,0,41,35.294117,54.117645,16.078432,31.764706,21.568628,0,100,2.352941,31,1,122.899994,32.599998,14.218,0,0,7866,0,255,
17,1385,0,21.17647,41.960785,36,-1.5625,0,41,35.294117,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,31,1,122.899994,32.599998,14.218,0,0,7866,0,255,
17,1359.25,0,20.784313,39.215687,37,-1.5625,0,38,35.294117,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,31,1,122.899994,32.599998,14.218,0,0,7866,0,255,
19,1359.25,0,20.784313,39.215687,37,-1.5625,0,38,34.117645,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,31,1,122.899994,32.599998,14.218,0,0,7866,0,255,
19,1359.25,0,20.784313,39.215687,37,-1.5625,0,38,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,31,1,139.100006,33.300003,14.199,0,0,7866,0,255,
19,1359.25,0,20.784313,39.215687,37,-1.5625,0,38,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,31,1,139.100006,33.300003,14.199,0,0,7866,0,255,
21,1312.5,0,20.392157,38.039215,38,-1.5625,0,36,34.117645,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,31,4,139.100006,33.300003,14.199,0,0,7866,0,255,
21,1312.5,0,20.392157,38.039215,38,-1.5625,0,36,36.07843,53.333332,16.078432,31.764706,20.392157,0,100,1.568627,31,4,139.100006,33.300003,14.199,0,0,7866,0,255,
21,1312.5,0,20.392157,38.039215,38,-1.5625,0,36,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,31,4,146.800003,33.699997,14.179,0,0,7866,0,255,
21,1312.5,0,20.392157,42.35294,38,-1.5625,0,36,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,31,4,146.800003,33.699997,14.179,0,0,7866,0,255,
22,1058.5,0,20.392157,42.35294,38,-1.5625,0,44,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,31,6,146.800003,33.699997,14.179,0,0,7866,0,255,
22,1058.5,0,20.392157,42.35294,38,-1.5625,0,44,34.509804,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,31,6,161.399994,34.599998,14.101,0,0,7866,0,255,
22,1058.5,0,20.392157,42.35294,38,-1.5625,0,44,34.509804,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,31,6,161.399994,34.599998,14.101,0,0,7866,0,255,
22,1104.5,0,20,43.529411,39,-1.5625,0,41,34.509804,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,31,-2,161.399994,34.599998,14.101,0,0,7866,0,255,
24,1104.5,0,20,43.529411,39,-1.5625,0,41,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,31,-2,161.399994,34.599998,14.101,0,0,7866,0,255,
24,1104.5,0,20,43.529411,39,-1.5625,0,41,36.07843,52.549019,16.078432,31.764706,20,0,100,0.784314,31,-2,175,35.5,14.14,0,0,7866,0,255,
24,1104.5,0,20,43.529411,39,-1.5625,0,41,36.07843,52.549019,16.078432,31.764706,20,0,100,0.784314,31,-2,175,35.5,14.14,0,0,7866,0,255,
24,1045.25,0,19.607843,40,40,-2.34375,0,40,36.07843,52.549019,16.078432,31.764706,20,0,100,0.784314,31,2,175,35.5,14.14,0,0,7866,0,255,
26,1045.25,0,19.607843,40,40,-2.34375,0,40,35.686275,52.549019,16.078432,31.764706,20,0,100,0.784314,31,2,175,35.5,14.14,0,0,7866,0,255,
26,1045.25,0,19.607843,40,40,-2.34375,0,40,35.686275,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,31,2,187.5,36.599998,14.121,0,0,7866,0,255,
26,1045.25,0,19.607843,37.254902,40,-1.5625,0,40,35.686275,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,31,2,187.5,36.599998,14.121,0,0,7866,0,255,
28,1017.75,0,19.215687,37.254902,40,-1.5625,0,37,35.686275,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,31,2,187.5,36.599998,14.121,0,0,7866,0,255,
28,1017.75,0,19.215687,37.254902,40,-1.5625,0,37,36.07843,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,31,2,193.199997,37.099998,14.042,0,0,7866,0,255,
28,1017.75,0,19.215687,37.254902,40,-1.5625,0,37,36.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,31,2,193.199997,37.099998,14.042,0,0,7866,0,255,
28,967.75,0,19.215687,36.07843,41,-1.5625,0,36,36.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,31,4,193.199997,37.099998,14.042,0,0,7866,0,255,
30,967.75,0,19.215687,36.07843,41,-1.5625,0,36,36.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,31,4,193.199997,37.099998,14.042,0,0,7866,0,255,
30,967.75,0,19.215687,36.07843,41,-1.5625,0,36,36.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,31,4,203.5,38.099998,14.121,0,0,7866,0,255,
30,967.75,0,19.215687,36.07843,41,-1.5625,0,36,36.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,31,4,203.5,38.099998,14.121,0,0,7866,0,255,
30,921,0,19.215687,38.039215,41,-1.5625,0,38,36.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,31,4,203.5,38.099998,14.121,0,0,7866,0,255,
31,921,0,19.215687,38.039215,41,-1.5625,0,38,34.117645,51.372547,16.078432,31.764706,19.215687,0,100,0,31,4,203.5,38.099998,14.121,0,0,7866,0,255,
31,921,0,19.215687,38.039215,41,-1.5625,0,38,34.117645,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,31,4,212.600006,39.099998,14.023,0,0,7866,0,255,
31,921,0,19.215687,53.333332,42,-0.78125,-4.6875,38,34.117645,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,31,4,212.600006,39.099998,14.023,0,0,7866,0,255,
33,677.25,0,19.607843,53.333332,42,-0.78125,-4.6875,53,34.117645,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,7,212.600006,39.099998,14.023,0,0,7866,0,255,
33,677.25,0,19.607843,53.333332,42,-0.78125,-4.6875,53,35.686275,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,7,221.100006,40.099998,14.062,0,0,7866,0,255,
33,677.25,0,19.607843,53.333332,42,-0.78125,-4.6875,53,35.686275,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,7,221.100006,40.099998,14.062,0,0,7866,0,255,
33,869.5,0,19.607843,45.490196,42,-1.5625,-7.8125,45,35.686275,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,-8,221.100006,40.099998,14.062,0,0,7866,0,255,
35,869.5,0,19.607843,45.490196,42,-1.5625,-7.8125,45,36.862743,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,-8,221.100006,40.099998,14.062,0,0,7866,0,255,
35,869.5,0,19.607843,45.490196,42,-1.5625,-7.8125,45,36.862743,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,32,-8,225.299988,40.699997,14.082,0,0,7866,0,255,
35,869.5,0,19.607843,45.490196,42,-1.5625,-7.8125,45,36.862743,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,32,-8,225.299988,40.699997,14.082,0,0,7866,0,255,
35,914.75,0,19.607843,44.705883,43,-1.5625,-4.6875,44,36.862743,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,32,-8,225.299988,40.699997,14.082,0,0,7866,0,255,
37,914.75,0,19.607843,44.705883,43,-1.5625,-4.6875,44,32.156864,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,32,-8,225.299988,40.699997,14.082,0,0,7866,0,255,
37,914.75,0,19.607843,44.705883,43,-1.5625,-4.6875,44,32.156864,52.156864,16.078432,31.764706,20,0,100,0.392157,32,-8,233.5,41.800003,13.886,0,0,7866,0,255,
37,914.75,0,19.607843,47.450981,43,-0.78125,-1.5625,44,32.156864,52.156864,16.078432,31.764706,20,0,100,0.392157,32,-8,233.5,41.800003,13.886,0,0,7866,0,255,
39,860,0,19.607843,47.450981,43,-0.78125,-1.5625,47,32.156864,52.156864,16.078432,31.764706,20,0,100,0.392157,32,3,233.5,41.800003,13.886,0,0,7866,0,255,
39,860,0,19.607843,47.450981,43,-0.78125,-1.5625,47,34.509804,52.156864,16.078432,31.764706,20,0,100,0.392157,32,3,241.600006,43,13.886,0,0,7866,0,255,
39,860,0,19.607843,47.450981,43,-0.78125,-1.5625,47,34.509804,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,32,3,241.600006,43,13.925,0,0,7866,0,255,
39,894.5,0,20,42.745098,44,-1.5625,-5.46875,44,34.509804,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,32,4,241.600006,43,13.925,0,0,7866,0,255,
41,894.5,0,20,42.745098,44,-1.5625,-5.46875,44,33.333332,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,32,4,241.600006,43,13.925,0,0,7866,0,255,
41,894.5,0,20,42.745098,44,-1.5625,-5.46875,44,33.333332,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,32,4,249.600006,44.300003,14.101,0,0,7866,0,255,
41,894.5,0,20,42.745098,44,-1.5625,-5.46875,44,33.333332,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,32,4,249.600006,44.300003,14.101,0,0,7866,0,255,
41,900.75,0,19.607843,41.568626,44,-1.5625,-4.6875,41,33.333332,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,32,3,249.600006,44.300003,14.101,0,0,7866,0,255,
42,900.75,0,19.607843,41.568626,44,-1.5625,-4.6875,41,36.862743,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,32,3,249.600006,44.300003,14.101,0,0,7866,0,255,
42,900.75,0,19.607843,41.568626,44,-1.5625,-4.6875,41,36.862743,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,3,253.5,45,14.101,0,0,7866,0,255,
42,900.75,0,19.607843,40.784313,45,-1.5625,-4.6875,41,36.862743,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,3,253.5,45,14.101,0,0,7866,0,255,
44,942,0,19.607843,40.784313,45,-1.5625,-4.6875,41,36.862743,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,-1,253.5,45,14.101,0,0,7866,0,255,
44,942,0,19.607843,40.784313,45,-1.5625,-4.6875,41,34.509804,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,-1,261.200012,46.400002,14.101,0,0,7866,0,255,
44,942,0,19.607843,40.784313,45,-1.5625,-4.6875,41,34.509804,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,-1,261.200012,46.400002,14.121,0,0,7866,0,255,
44,950.75,0,19.607843,39.607841,45,-2.34375,-3.90625,40,34.509804,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,-1,261.200012,46.400002,14.121,0,0,7866,0,255,
46,950.75,0,19.215687,39.607841,45,-2.34375,-3.90625,40,34.509804,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,32,-1,261.200012,46.400002,14.121,0,0,7866,0,255,
46,950.75,0,19.215687,39.607841,45,-2.34375,-3.90625,40,34.509804,51.372547,16.078432,31.764706,19.607843,0,100,0,32,-1,268.399994,47.800003,14.101,0,0,7866,0,255,
46,950.75,0,19.215687,39.607841,45,-2.34375,-3.90625,40,34.509804,51.372547,16.078432,31.764706,19.215687,0,100,0,32,-1,268.399994,47.800003,14.101,0,0,7866,0,255,
46,957.75,0,19.215687,38.039215,46,-1.5625,-7.8125,38,34.509804,51.372547,16.078432,31.764706,19.215687,0,100,0,32,1,268.399994,47.800003,14.101,0,0,7866,0,255,
48,957.75,0,19.215687,38.039215,46,-1.5625,-7.8125,38,34.117645,51.372547,16.078432,31.764706,19.215687,0,100,0,32,1,268.399994,47.800003,14.101,0,0,7866,0,255,
48,957.75,0,19.215687,38.039215,46,-1.5625,-7.8125,38,34.117645,50.980392,16.078432,31.764706,18.82353,0,100,0,32,1,275,49.199997,14.101,0,0,7866,0,255,
48,957.75,0,19.215687,35.686275,46,-1.5625,-3.90625,38,34.117645,50.980392,16.078432,31.764706,18.82353,0,100,0,32,1,275,49.199997,14.101,0,0,7866,0,255,
50,928.75,0,18.82353,35.686275,46,-0.78125,-3.90625,35,34.117645,50.980392,16.078432,31.764706,18.82353,0,100,0,32,5,275,49.199997,14.101,0,0,7866,0,255,
50,928.75,0,18.82353,35.686275,46,-0.78125,-3.90625,35,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,5,278.100006,49.900002,14.101,0,0,7866,0,255,
50,928.75,0,18.82353,35.686275,46,-0.78125,-3.90625,35,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,5,278.100006,49.900002,13.808,0,0,7866,0,255,
50,885,0,18.82353,37.254902,46,-1.5625,-7.03125,38,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,278.100006,49.900002,13.808,0,0,7866,0,255,
51,885,0,18.82353,37.254902,46,-1.5625,-7.03125,38,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,278.100006,49.900002,13.808,0,0,7866,0,255,
51,885,0,18.82353,37.254902,46,-1.5625,-7.03125,38,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,283.700012,51.300003,13.906,0,0,7866,0,255,
51,885,0,18.82353,37.254902,46,-1.5625,-7.03125,38,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,283.700012,51.300003,13.906,0,0,7866,0,255,
51,888.25,0,18.82353,36.862743,47,-1.5625,-3.125,37,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,283.700012,51.300003,13.906,0,0,7866,0,255,
53,888.25,0,18.82353,36.862743,47,-1.5625,-3.125,37,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,283.700012,51.300003,13.906,0,0,7866,0,255,
53,888.25,0,18.82353,36.862743,47,-1.5625,-3.125,37,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,288.899994,52.699997,13.769,0,0,7866,0,255,
53,888.25,0,18.82353,37.254902,48,-1.5625,-7.03125,37,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,32,2,288.899994,52.699997,13.769,0,0,7866,0,255,
55,876.5,0,18.82353,37.254902,48,-1.5625,-7.03125,37,35.686275,50.980392,16.078432,31.764706,18.82353,0,100,0,33,3,288.899994,52.699997,13.769,0,0,7866,0,255,
55,876.5,0,18.82353,37.254902,48,-1.5625,-7.03125,37,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,3,293.600006,54.099998,13.769,0,0,7866,0,255,
55,876.5,0,18.82353,37.254902,48,-1.5625,-7.03125,37,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,3,293.600006,54.099998,14.121,0,0,7866,0,255,
55,895.25,0,18.82353,37.254902,48,-1.5625,-3.125,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,0,293.600006,54.099998,14.121,0,0,7866,0,255,
57,895.25,0,18.82353,37.254902,48,-1.5625,-3.125,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,0,293.600006,54.099998,14.121,0,0,7866,0,255,
57,895.25,0,18.82353,37.254902,48,-1.5625,-3.125,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,0,295.899994,54.800003,13.886,0,0,7866,0,255,
57,895.25,0,18.82353,37.254902,48,-1.5625,-3.125,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,0,295.899994,54.800003,13.886,0,0,7866,0,255,
57,887.5,0,18.82353,36.862743,48,-1.5625,-6.25,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,2,295.899994,54.800003,13.886,0,0,7866,0,255,
59,887.5,0,18.82353,36.862743,48,-1.5625,-6.25,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,2,295.899994,54.800003,13.886,0,0,7866,0,255,
59,887.5,0,18.82353,36.862743,48,-1.5625,-6.25,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,2,300.200012,56.199997,13.73,0,0,7867,0,255,
59,887.5,0,18.82353,36.862743,49,-1.5625,-6.25,36,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,2,300.200012,56.199997,13.73,0,0,7867,0,255,
60,882.75,0,18.82353,36.862743,49,-1.5625,-3.90625,38,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,3,300.200012,56.199997,13.73,0,0,7867,0,255,
60,882.75,0,18.82353,36.862743,49,-1.5625,-3.90625,38,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,3,304.399994,57.599998,13.73,0,0,7867,0,255,
60,882.75,0,18.82353,36.862743,49,-1.5625,-3.90625,38,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,3,304.399994,57.599998,14.062,0,0,7867,0,255,
60,887.5,0,18.82353,36.862743,49,-1.5625,-3.90625,37,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,1,304.399994,57.599998,14.062,0,0,7867,0,255,
62,887.5,0,18.82353,36.862743,49,-1.5625,-3.90625,37,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,1,304.399994,57.599998,14.062,0,0,7867,0,255,
62,887.5,0,18.82353,36.862743,49,-1.5625,-3.90625,37,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,1,308.299988,59,13.945,0,0,7867,0,255,
62,887.5,0,18.82353,36.862743,49,-1.5625,-3.90625,37,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,1,308.299988,59,13.945,0,0,7867,0,255,
62,890.5,0,18.82353,36.470589,50,-1.5625,-4.6875,35,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,2,308.299988,59,13.945,0,0,7867,0,255,
64,890.5,0,18.82353,36.470589,50,-1.5625,-4.6875,35,36.07843,50.980392,16.078432,31.764706,18.82353,0,100,0,33,2,308.299988,59,13.945,0,0,7867,0,255,
